subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://data.mimotext.uni-trier.de/entity/Q842	Rousseaus	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3899	fantastic elements	Imagination	In dem weiten Spektrum von pointierten Imaginationstheorien, die im 18. Jahrhundert eruptionsartig Gestalt gewinnen, kommt Rousseaus Vorstellungen über die Funktion und Leistungskraft der Imagination eine markante Sonderstellung zu.
http://data.mimotext.uni-trier.de/entity/Q842	er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3899	fantastic elements	Imagination	Zusammen mit den großen Aufklärern von Voltaire bis Samuel Johnson vollzieht er eine Neu-Fokussierung der Imagination in dem Sinne, dass sie als ein natürliches Vermögen gefasst wird, das nicht per se der Pathologisierung unterworfen ist, vielmehr eine gleichsam edukative Zurüstung herausfordert und schließlich, aus aktueller Perspektive gesehen, als Erzeuger eines die Gesellschaft strukturierenden Imaginären zu fungieren vermag.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3899	fantastic elements	Imagination	Im Einzelnen ist als gemeinsame Schnittmenge auszumachen, dass der Imagination von Rousseau – wie von etlichen seiner Zeitgenossen – nicht mehr nur die Kraft der Rückerinnerung, sondern auch die des Vorgriffs in einen unrealisierten Möglichkeitsraum und also eine neue temporale Dimension zugesprochen wird.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3902	criticism	kulturkritische Polemik	und selbst die notorisch mit Rousseau assoziierte kulturkritische Polemik gegen eine ausschweifende Imagination ist mehr ein Signum der Zeit als bloß ein Erkennungszeichen seiner eigenen Philosophie.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3899	fantastic elements	Imagination	und selbst die notorisch mit Rousseau assoziierte kulturkritische Polemik gegen eine ausschweifende Imagination ist mehr ein Signum der Zeit als bloß ein Erkennungszeichen seiner eigenen Philosophie.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	Philosophie	und selbst die notorisch mit Rousseau assoziierte kulturkritische Polemik gegen eine ausschweifende Imagination ist mehr ein Signum der Zeit als bloß ein Erkennungszeichen seiner eigenen Philosophie.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3920	(pseudo-)historical elements	hypothetischen Ursprung der Gesellschaft	Gleichwohl liegt es aus heuristischen Gründen nahe, die von Rousseau freigesetzte Imaginationsproblematik im Rekurs auf vier zentrale Gruppierungen seiner Schriften zu erörtern: So sind erstens die Arbeiten über den hypothetischen Ursprung der Gesellschaft (Discours sur l’inégalité, Essai sur l’origine des langues) – bei aller internen Spannung – sicherlich als Einheit zu sehen, sind sie doch geeignet, eine anthropologische und kulturkritische Perspektive im Vorzeichen der Imagination vor Augen zu führen;
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	Erziehungsroman	Gleichwohl liegt es aus heuristischen Gründen nahe, die von Rousseau freigesetzte Imaginationsproblematik im Rekurs auf vier zentrale Gruppierungen seiner Schriften zu erörtern: So sind erstens die Arbeiten über den hypothetischen Ursprung der Gesellschaft (Discours sur l’inégalité, Essai sur l’origine des langues) – bei aller internen Spannung – sicherlich als Einheit zu sehen, sind sie doch geeignet, eine anthropologische und kulturkritische Perspektive im Vorzeichen der Imagination vor Augen zu führen; La Nouvelle Héloïse – drittens – bildet per se die intensivste künstlerische Inszenierung, die Rousseau, in pygmalionesker Manier, von der Leistungskraft der Imagination hinterlassen hat und ist insofern zusammen zu sehen mit der vierten Textgruppe, den autobiographischen Schriften (insbesondere: Les Confessions, Quatre Lettres à Malesherbes, Rêveries), die gemeinsam als zentrales Explorationsfeld der Imagination und des Imaginären zu betrachten sind, wobei vor allem die Rêveries gemeinhin als Höhepunkt einer imaginationsgestützten Annäherung an vollkommenes Glück gelesen werden.
http://data.mimotext.uni-trier.de/entity/Q1027	Émile	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	Erziehungsroman	zweitens wird man den Émile zusammen mit etlichen der großen politischen Schriften im wörtlichen Sinn als Erziehungsroman bzw. -traktat in dem Sinne lesen, dass im Ringen um eine soziale Fruchtbarmachung der Imagination Rousseau die Kräfte der Mäßigung sammelt, die, wenn auch verstreut, sein ganzes Werk entscheidend mitprägen.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3899	fantastic elements	Imagination	La Nouvelle Héloïse – drittens – bildet per se die intensivste künstlerische Inszenierung, die Rousseau, in pygmalionesker Manier, von der Leistungskraft der Imagination hinterlassen hat und ist insofern zusammen zu sehen mit der vierten Textgruppe, den autobiographischen Schriften (insbesondere: Les Confessions, Quatre Lettres à Malesherbes, Rêveries), die gemeinsam als zentrales Explorationsfeld der Imagination und des Imaginären zu betrachten sind, wobei vor allem die Rêveries gemeinhin als Höhepunkt einer imaginationsgestützten Annäherung an vollkommenes Glück gelesen werden.
