subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://data.mimotext.uni-trier.de/entity/Q850	Restif	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3911	realistic tendancies	ein treues Spiegelbild der Sitten seiner Zeit	So war Restif wohl die Persönlichkeit dazu, uns in seinen Werken ein treues Spiegelbild der Sitten seiner Zeit zu hinterlassen.
http://data.mimotext.uni-trier.de/entity/Q850	Er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3911	realistic tendancies	in wahrhafter Weise darstellen	Er will in wahrhafter Weise darstellen, was er beobachtet hat, er will ,,donner un miroir fidèle et intéressant : fidèle par la vérité des images, intéressant par la nature, par la singularité, la variété, la multiplicité des aventures^. (N. p. 2916).
http://data.mimotext.uni-trier.de/entity/Q850	Restif	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3080		cynische Rücksichtslosigkeit	Mit Rücksicht auf die Orte und die Klassen, an und unter denen Restif seine Beobachtungen angestellt hat ergiebt sich, dass mit diesen Grundsätzen cynische Rücksichtslosigkeit das Hauptkennzeichen der Schriften Restifs werden musste.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	beizubringen	Seitdem Rousseau den Roman zu einem Tendenzwerke ausgestaltet hat, in dem der Autor seine Ansichten über eine Menge von Dingen, Vorgängen, Verhältnissen des Lebens äussert und seinen Lesern beizubringen sucht, fühlt sich denn auch jeder, der einen Roman schreibt, zum Lehrer der Menschheit berufen.
http://data.mimotext.uni-trier.de/entity/Q842	Er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3909	epic tone	erzählt	Er erzählt nicht allein;
http://data.mimotext.uni-trier.de/entity/Q842	Er	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3921	moral	belehren und aufklären	Er erzählt nicht allein; er will belehren und aufklären.
http://data.mimotext.uni-trier.de/entity/Q850	er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3080		cynischer Episoden	So spekulierte er auf die Vorliebe der Leser für sexuelle Abenteuer und streute eine Menge cynischer Episoden in die Erzählung ein, deren er eine so grosse Menge erlebt, gesehen oder in Erfahrung gebracht hatte.
http://data.mimotext.uni-trier.de/entity/Q850	Restifs	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3913	sentimental tone	Sentimentalität	Restifs Sentimentalität ist unnatürlich, ihr Ausdruck ist geschraubt und überschwänglich; er verfällt in hohle Rhetorik, wenn er zarte Empfindung zu schildern unternimmt.
http://data.mimotext.uni-trier.de/entity/Q850	er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3913	sentimental tone	Sinnlichkeit	Mögen von den Liebesabenteuern, die er sich in Mr. Nicolas zuschreibt, viele nicht ihm zugestossen sein, — und seine Biographen sind in dieser Hinsicht vielleicht etwas leichtgläubig gewesen, — sicher ist, dass Restif von ganz abnormer Sinnlichkeit gewesen ist, und so hat die Schilderung der Liebesbegierde in Restif einen vorzüglichen Darsteller gefunden.
http://data.mimotext.uni-trier.de/entity/Q850	er	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3907	sensibility	Schilderung der Liebesbegierde	Mögen von den Liebesabenteuern, die er sich in Mr. Nicolas zuschreibt, viele nicht ihm zugestossen sein, — und seine Biographen sind in dieser Hinsicht vielleicht etwas leichtgläubig gewesen, — sicher ist, dass Restif von ganz abnormer Sinnlichkeit gewesen ist, und so hat die Schilderung der Liebesbegierde in Restif einen vorzüglichen Darsteller gefunden.
