subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	Prinzip der Sinneswahrnehmung	Man sieht an diesem Zitat von Diderot sehr deutlich, dass alle menschlichen Kenntnisse (»connoissances«) auf ein einheitliches Prinzip zurückgeführt werden, nämlich das Prinzip der Sinneswahrnehmung.
http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	Geschichtsschreibung, Philosophie und Poesie.	Man sieht an diesem Zitat von Diderot sehr deutlich, dass alle menschlichen Kenntnisse (»connoissances«) auf ein einheitliches Prinzip zurückgeführt werden, nämlich das Prinzip der Sinneswahrnehmung. Sinneseindrücke erregen die Wahrnehmungstätigkeit (»perceptions«) des Verstandes (»entendement«). Dieser verarbeitet die Wahrnehmungen mittels dreier Vermögen (»facultés«): Gedächtnis/Erinnerung (»Mémoire«), Vernunft (»Raison«) und Einbildungskraft (»Imagination«). Die drei Hauptbereiche des Wissens sind ihrerseits wiederum in drei Unterbereiche eingeteilt:
http://data.mimotext.uni-trier.de/entity/Q708	Montesquieu	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	naturwissenschaftliche Abhandlungen	Montesquieu veröffentlichte naturwissenschaftliche Abhandlungen (über die Ursachen des Echos, die Funktion der Nieren, die Schwerkraft usw.), literarische Texte (insbesondere seine Lettres persanes, einen satirischen Briefroman, aber auch die galante Erzählung Le temple de Gnide) und schließlich historischjuristische Abhandlungen (Considérations sur les causes de la grandeur des romains et de leur décadence und vor allem sein Hauptwerk De l’esprit des lois).
http://data.mimotext.uni-trier.de/entity/Q708	Montesquieu	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3919	literary discussions	literarische Texte	Montesquieu veröffentlichte naturwissenschaftliche Abhandlungen (über die Ursachen des Echos, die Funktion der Nieren, die Schwerkraft usw.), literarische Texte (insbesondere seine Lettres persanes, einen satirischen Briefroman, aber auch die galante Erzählung Le temple de Gnide) und schließlich historischjuristische Abhandlungen (Considérations sur les causes de la grandeur des romains et de leur décadence und vor allem sein Hauptwerk De l’esprit des lois).
http://data.mimotext.uni-trier.de/entity/Q708	Montesquieu		http://data.mimotext.uni-trier.de/entity/Q3920	(pseudo-)historical elements	historischjuristische Abhandlungen	Montesquieu veröffentlichte naturwissenschaftliche Abhandlungen (über die Ursachen des Echos, die Funktion der Nieren, die Schwerkraft usw.), literarische Texte (insbesondere seine Lettres persanes, einen satirischen Briefroman, aber auch die galante Erzählung Le temple de Gnide) und schließlich historischjuristische Abhandlungen (Considérations sur les causes de la grandeur des romains et de leur décadence und vor allem sein Hauptwerk De l’esprit des lois).
http://data.mimotext.uni-trier.de/entity/Q981	Voltaire	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3920	(pseudo-)historical elements	historiographischen Schriften	Voltaire war Verfasser von historiographischen Schriften (Le siècle de Louis XIV), von Erzählungen und Romanen (Zadig, Candide, L’ingénu), von Tragödien (Mérope, Mahomet), von kulturvergleichenden Texten (Lettres philosophiques, Essai sur les mœurs), aber auch von Polemiken, mit denen er in der öffentlichen Auseinandersetzung Position bezog (L’affaire Calas).
http://data.mimotext.uni-trier.de/entity/Q981	Voltaire	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3919	literary discussions	kulturvergleichenden Texten	Voltaire war Verfasser von historiographischen Schriften (Le siècle de Louis XIV), von Erzählungen und Romanen (Zadig, Candide, L’ingénu), von Tragödien (Mérope, Mahomet), von kulturvergleichenden Texten (Lettres philosophiques, Essai sur les mœurs), aber auch von Polemiken, mit denen er in der öffentlichen Auseinandersetzung Position bezog (L’affaire Calas).
http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	das Wissen	Diderot war Mitherausgeber der das Wissen der damaligen Zeit systematisch erfassenden Encyclopédie, zu der er auch hunderte von Artikeln beisteuerte,
http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3919	literary discussions	philosophische und kulturvergleichende Texte	Diderot war Mitherausgeber der das Wissen der damaligen Zeit systematisch erfassenden Encyclopédie, zu der er auch hunderte von Artikeln beisteuerte, er schrieb Dramen und dramentheoretische Texte (Le fils naturel, Le père de famille, Entretiens sur le fils naturel), Romane oder romanartige Texte (Les bijoux indiscrets, La religieuse, Le neveu de Rameau, Jacques le fataliste et son maître), philosophische und kulturvergleichende Texte (Lettre sur les aveugles, Supplément au voyage de Bougainville) und vieles mehr.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3902	criticism	kulturkritischen Discours	Rousseau trat unter anderem hervor als Verfasser der beiden berühmten kulturkritischen Discours, eines romanartigen Erziehungstraktats (Émile), von musiktheoretischen Schriften und von Encyclopédie-Artikeln, einer staatstheoretischen Schrift (Du contrat social), eines empfindsamen Briefromans (Julie, ou La Nouvelle Héloïse) und autobiographischer Texte (Les confessions, Rousseau juge de Jean-Jacques, Les rêveries du promeneur solitaire).
http://data.mimotext.uni-trier.de/entity/Q1027	Émile	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	Erziehungstraktats	Rousseau trat unter anderem hervor als Verfasser der beiden berühmten kulturkritischen Discours, eines romanartigen Erziehungstraktats (Émile), von musiktheoretischen Schriften und von Encyclopédie-Artikeln, einer staatstheoretischen Schrift (Du contrat social), eines empfindsamen Briefromans (Julie, ou La Nouvelle Héloïse) und autobiographischer Texte (Les confessions, Rousseau juge de Jean-Jacques, Les rêveries du promeneur solitaire).
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	Erziehungstraktats	Rousseau trat unter anderem hervor als Verfasser der beiden berühmten kulturkritischen Discours, eines romanartigen Erziehungstraktats (Émile), von musiktheoretischen Schriften und von Encyclopédie-Artikeln, einer staatstheoretischen Schrift (Du contrat social), eines empfindsamen Briefromans (Julie, ou La Nouvelle Héloïse) und autobiographischer Texte (Les confessions, Rousseau juge de Jean-Jacques, Les rêveries du promeneur solitaire).
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3896	analysis of passions	empfindsamen Briefromans	Rousseau trat unter anderem hervor als Verfasser der beiden berühmten kulturkritischen Discours, eines romanartigen Erziehungstraktats (Émile), von musiktheoretischen Schriften und von Encyclopédie-Artikeln, einer staatstheoretischen Schrift (Du contrat social), eines empfindsamen Briefromans (Julie, ou La Nouvelle Héloïse) und autobiographischer Texte (Les confessions, Rousseau juge de Jean-Jacques, Les rêveries du promeneur solitaire).
http://data.mimotext.uni-trier.de/entity/Q981	Voltaire	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	das Wissen	Während die großen Autoren des 17. Jahrhunderts (etwa Descartes oder Leibniz) ihr Wissen vornehmlich unter ihresgleichen publik machten und daher teilweise noch auf Lateinisch schrieben, wollen ihre Nachfolger im 18. Jahrhundert (Montesquieu, Voltaire, Diderot, Rousseau) das Wissen allgemein verfügbar machen.
http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	das Wissen	Während die großen Autoren des 17. Jahrhunderts (etwa Descartes oder Leibniz) ihr Wissen vornehmlich unter ihresgleichen publik machten und daher teilweise noch auf Lateinisch schrieben, wollen ihre Nachfolger im 18. Jahrhundert (Montesquieu, Voltaire, Diderot, Rousseau) das Wissen allgemein verfügbar machen.
