subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3896	analysis of passions	direkte Beziehung zu seinen eigenen seelischen Zuständen	Aus solchen räumlich betonten Erfahrungen von der Belebtheit der Natur ergibt sich für Rousseau eine direkte Beziehung zu seinen eigenen seelischen Zuständen.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3921	moral	moralisierenden	Die Macht der stummen Bergwelt, ihrer Weiträumigkeit und Höhe, über die innere Gemütslage des Menschen wird von Rousseau gerade der moralisierenden, rein hirnmäßig ausgerichteten Philosophie gegenüber besonders hervorgehoben und zwar als ein körperliches und geistiges Ganzheitserlebnis.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3039		Philosophie	Die Macht der stummen Bergwelt, ihrer Weiträumigkeit und Höhe, über die innere Gemütslage des Menschen wird von Rousseau gerade der moralisierenden, rein hirnmäßig ausgerichteten Philosophie gegenüber besonders hervorgehoben und zwar als ein körperliches und geistiges Ganzheitserlebnis.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3918	didactics	Aufklärer	Rousseau ist reiner Romantiker in dieser wesenhaften Reaktivierung des gesamten Ich aus der Natur heraus. Aber als Kind seiner Zeit, als Aufklärer, ist es ihm darum zu tun, die véritable cause seiner Erlebnisse verstandesmäßig zu erfassen:
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3911	realistic tendancies	véritable cause seiner Erlebnisse verstandesmäßig zu erfassen	Rousseau ist reiner Romantiker in dieser wesenhaften Reaktivierung des gesamten Ich aus der Natur heraus. Aber als Kind seiner Zeit, als Aufklärer, ist es ihm darum zu tun, die véritable cause seiner Erlebnisse verstandesmäßig zu erfassen:
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3910	poetic tone	dichterischen	In dieser dichterischen Aussage, einem der schönsten Zeugnisse poetischer Prosa schlechthin, gruppiert sich das Erleben um die Ausdrücke: existence, penser, sentir. Wollen wir weiter in den Kern des Rousseauschen Erlebnisses eindringen, so hätten wir uns zunächst die Frage vorzulegen: Was versteht Rousseau unter Existence.
http://data.mimotext.uni-trier.de/entity/Q842	Rousseau	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3910	poetic tone	poetischer Prosa	In dieser dichterischen Aussage, einem der schönsten Zeugnisse poetischer Prosa schlechthin, gruppiert sich das Erleben um die Ausdrücke: existence, penser, sentir. Wollen wir weiter in den Kern des Rousseauschen Erlebnisses eindringen, so hätten wir uns zunächst die Frage vorzulegen: Was versteht Rousseau unter Existence.
http://www.wikidata.org/entity/Q49767	Chateaubriands	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3910	poetic tone	dichterischen	Dieses kann, der Erfassung von Chateaubriands durée progressive sehr ähnlich, zunächst einsetzen mit einer dichterischen Betrachtung der Flüchtigkeit und Vergänglichkeit alles kreatürlichen Lebens.
http://www.wikidata.org/entity/Q188697	Lamartines	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	philosophischen	Als Hochgesang kreatürlicher Vergänglichkeit, besonders der Vergänglichkeit der Liebe, ist das bekannteste Gedicht Lamartines, die dixième méditation, Le Lac, anzusehen. Das Gedicht setzt ein mit einer allgemeinen philosophischen Betrachtung über das Verhältnis von Mensch und Zeit.
http://www.wikidata.org/entity/Q3223868	Le Lac	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	philosophischen	Als Hochgesang kreatürlicher Vergänglichkeit, besonders der Vergänglichkeit der Liebe, ist das bekannteste Gedicht Lamartines, die dixième méditation, Le Lac, anzusehen. Das Gedicht setzt ein mit einer allgemeinen philosophischen Betrachtung über das Verhältnis von Mensch und Zeit.
http://www.wikidata.org/entity/Q188697	Lamartine	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3896	analysis of passions	seelischen Tiefen	Lamartine verwendet hier, da seine Beobachtungen aus seelischen Tiefen stammen und sich nicht in verstandesmäßige Worte kleiden lassen, ein Bild, eine uralte Figur aus der griechischen Rhetorik, die Schiffahrtsmetapher.
http://www.wikidata.org/entity/Q188697	Lamartines	http://data.mimotext.uni-trier.de/entity/P39	http://data.mimotext.uni-trier.de/entity/Q3922	philosophy	abstrakt philosophische	Eine abstrakt philosophische Einstellung charakterisiert das Zeitempfinden Lamartines, besonders das der durée absolue.
http://www.wikidata.org/entity/Q188697	Lamartines	http://data.mimotext.uni-trier.de/entity/P38	http://data.mimotext.uni-trier.de/entity/Q3910	poetic tone	hoher dichterischer Gestaltung	Lamartines Zeit- und Raumerlebnisse sind zu hoher dichterischer Gestaltung, zu reinster Poesie gelangt, weil sie von allen direkten Tatsachen und Wahrnehmungen weitgehend gereinigt sind.
