concept	Q-ID	conceptLabel	conceptLabel_de	conceptLabel_fr
http://data.mimotext.uni-trier.de/entity/Q3895	Q3895	allegory	Allegorie	allégorie
http://data.mimotext.uni-trier.de/entity/Q3896	Q3896	analysis of passions	Analyse von Gefühlen	analyses des passions
http://data.mimotext.uni-trier.de/entity/Q3897	Q3897	apology	Apologetik	apologie
http://data.mimotext.uni-trier.de/entity/Q3898	Q3898	love of nature	Naturverbundenheit	attachement à la nature
http://data.mimotext.uni-trier.de/entity/Q3899	Q3899	fantastic elements	märchenhafte Elemente	conte de fée
http://data.mimotext.uni-trier.de/entity/Q3900	Q3900	narration	Erzählung	contes
http://data.mimotext.uni-trier.de/entity/Q3901	Q3901	dialect	Dialekt	couleur locale
http://data.mimotext.uni-trier.de/entity/Q3902	Q3902	criticism	Kritik	critique
http://data.mimotext.uni-trier.de/entity/Q3903	Q3903	artistic imitation	Nachahmung	manière imitée (parodie)
http://data.mimotext.uni-trier.de/entity/Q3904	Q3904	melancholy	Melancholie	mélancolie
http://data.mimotext.uni-trier.de/entity/Q3905	Q3905	pornography	Pornographie	précisions pornographiques
http://data.mimotext.uni-trier.de/entity/Q3906	Q3906	satire	Satire	satire
http://data.mimotext.uni-trier.de/entity/Q3907	Q3907	sensibility	Sensibilität	sensibilité
http://data.mimotext.uni-trier.de/entity/Q3908	Q3908	eloquent tone	Sprachfertigkeit	style élevé
http://data.mimotext.uni-trier.de/entity/Q3909	Q3909	epic tone	epischer Tonfall	style épique
http://data.mimotext.uni-trier.de/entity/Q3910	Q3910	poetic tone	poetischer Tonfall	style poétique
http://data.mimotext.uni-trier.de/entity/Q3911	Q3911	realistic tendancies	realistische Tendenzen	tendances réalistes
http://data.mimotext.uni-trier.de/entity/Q3912	Q3912	cheerful tone	heiterer Tonfall	ton gai
http://data.mimotext.uni-trier.de/entity/Q3913	Q3913	sentimental tone	sentimentaler Tonfall	ton sentimental
http://data.mimotext.uni-trier.de/entity/Q3914	Q3914	ancient languages	historische Sprachelemente	vieux langage
http://data.mimotext.uni-trier.de/entity/Q3915	Q3915	ambiguity	Mehrdeutigkeit	ambiguïté
http://data.mimotext.uni-trier.de/entity/Q3916	Q3916	comic	Komik	comique
http://data.mimotext.uni-trier.de/entity/Q3917	Q3917	political considerations	politische Überlegungen	considérations politiques
http://data.mimotext.uni-trier.de/entity/Q3918	Q3918	didactics	Didaktik	didactique
http://data.mimotext.uni-trier.de/entity/Q3919	Q3919	literary discussions	literarische Diskussionen	discussions littéraires
http://data.mimotext.uni-trier.de/entity/Q3920	Q3920	(pseudo-)historical elements	(pseudo-)historische Elemente	éléments (pseudo-)historiques
http://data.mimotext.uni-trier.de/entity/Q3921	Q3921	moral	Moral	morale
http://data.mimotext.uni-trier.de/entity/Q3922	Q3922	philosophy	Philosophie	philosophie
http://data.mimotext.uni-trier.de/entity/Q3952	Q3952	future-oriented		
https://data.mimotext.uni-trier.de/wiki/Item:Q3952	Q3952	future-oriented		
