"subject_id"	"subject_snippet"	"property"	"object_id"	"object_label"	"object_snippet"	"snippet"
"http://data.mimotext.uni-trier.de/entity/Q1011"	"Micromégas"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3906"	"satire"	"karikiert"	"Selbst wenn Voltaire Fontenelle als Akademiesekretär in Micromégas (1752) karikiert, ist seine Religionskritik dennoch von dessen witzigen Anekdoten und ›reductiones ad absurdum‹ des Aberglaubens stark beeinflusst."
"http://data.mimotext.uni-trier.de/entity/Q1022"	"Candide"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3906"	"satire"	"karikiert"	"In Voltaires Candide wird Leibniz’ metaphysischer Optimismus in der Figur des Pangloss karikiert, dessen Gegenspieler Martin Züge Bayles trägt."
"http://data.mimotext.uni-trier.de/entity/Q1022"	"Candide ou L’optimisme"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3908"	"eloquent tone"	"Raffinesse"	"Mit Candide ou L’optimisme (1759), einem Höhepunkt seines Erzählwerks, einem Text, der Parallelen zu Samuel Johnsons im selben Jahr erschienenem Roman History of Rasselas, Prince of Abyssinia aufweist, bezieht Voltaire mit literarischer Raffinesse in dieser Streitfrage Stellung."
"http://data.mimotext.uni-trier.de/entity/Q1022"	"Candide"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3899"	"fantastic elements"	"des Märchens und des Fantastischen"	"Candide verzichtet in charakteristischer Weise auf psychologische Vertiefung. Unterschiedliche Erzähltraditionen greifen ineinander: der hellenistische Liebesroman mit den Momenten der Trennung und der Wiedervereinigung der Liebenden am Ende, der variationsreiche Abenteuerroman, der Barockroman mit seinen Täuschungen, Verkennungen und Katastrophen sowie der episodenreiche Schelmenroman, der in der ersten Jahrhunderthälfte stilprägend ist und den schmerzvollen Erwerb von Lebenserfahrung schildert. Ein ›conte philosophique‹ ist Candide deswegen, weil eine philosophische Theorie gewissermaßen im Erzählen erprobt wird."
"http://data.mimotext.uni-trier.de/entity/Q1022"	"Candide"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3912"	"cheerful tone"	"Optimismus"	"Ein ›conte philosophique‹ ist Candide deswegen, weil eine philosophische Theorie gewissermaßen im Erzählen erprobt wird. Wenn Pangloss behauptet, jedes Ereignis habe eine Ursache und einen höheren Zweck, und Martin die Erfahrung von Zufall und Sinnlosigkeit gegen diese These stark macht, wird damit eine Konkurrenz von Deutungen in Szene gesetzt, die sich durch die Reihung unglaublicher Zufälle in der erzählten Ereignisfolge zunächst im Sinne von Martins These aufzulösen scheint. Es gilt, sich der Praxis zuzuwenden und statt des Paradiesgartens ein irdisches Gärtchen zu bewohnen und zu bewirtschaften, im Schweiße seines Angesichts oder, post-biblisch gemildert: tatkräftig seiner Arbeit nachzugehen, dem ›ennui‹ entgegenzuwirken."
"http://data.mimotext.uni-trier.de/entity/Q1053"	"Les liaisons dangereuses"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3906"	"satire"	"ironisch"	"Den Höhepunkt des Empfindsamkeit und Libertinismus kreuzenden Briefromans und einen der Schlüsseltexte des literarischen Immoralismus bildet Les liaisons dangereuses, ein Text, in dem der gattungstypische Perspektivismus mit großer Raffinesse eingesetzt wird. Mit dem Motto ironisch auf Rousseaus Julie Bezug nehmend, wird eine von der boshaften Marquise de Merteuil und dem Libertin Vicomte de Valmont gesponnene Intrige präsentiert, die die tugendhafte Madame de Tourvel zu Fall bringt."
"http://data.mimotext.uni-trier.de/entity/Q1057"	"Galatée"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3898"	"love of nature"	"Pastoralroman"	"So veröffentlicht etwa Jean-Pierre Claris de Florian 1783 einen Pastoralroman, Galatée – im Anschluss an Cervantes –, und auch Bernardin de Saint-Pierre greift mit Paul et Virginie (1788), einer »espèce de pastorale«, bukolische Motive auf."
"http://data.mimotext.uni-trier.de/entity/Q1086"	"La philosophie dans le boudoir"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3908"	"eloquent tone"	"Dialogform"	"In philosophischen Schriften kommt der Dialogform eine außerordentlich große Bedeutung zu; die Grenze zwischen Fiktion und philosophischer Theorie löst sich hier tendenziell auf (Diderot, Le rêve de d’Alembert, 1769; Sade, La philosophie dans le boudoir, 1795)."
"http://data.mimotext.uni-trier.de/entity/Q1088"	"Jacques le fataliste"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3906"	"satire"	"ironisch"	"Entscheidende Impulse zu einem selbstbezüglichen, experimentellen und humoristischen Erzählen gehen im 18. Jh. von England aus (Henry Fielding) und gipfeln in Laurence Sternes Tristram Shandy (1759–1767) und Diderots ironisch darauf bezogenem Roman Jacques le fataliste et son maître."
"http://data.mimotext.uni-trier.de/entity/Q1088"	"Jacques le fataliste"	"http://data.mimotext.uni-trier.de/entity/P38"	"http://data.mimotext.uni-trier.de/entity/Q3908"	"eloquent tone"	"dialogische"	"In diesen Kontext gehören vor allem dialogische Erzähltexte des ethischen Pluralisten Diderot, insbesondere Le neveu de Rameau, aber auch die in Jacques le fataliste eingebetteten, ethisch oft in einen unauflösbaren Widerspruch mündenden Erzählungen, die ›contes moraux‹ und ihr Pendant, die ›contes immoraux‹, und vor allem das Werk des Marquis de Sade, eine gewaltige und gewalttätige Verkehrung aufklärerischer Moral, die die literarischen Neuerungen der Aufklärung subversiv instrumentalisiert."
